date,type,description,amount
1/1/2026,Inflow,Shopify Sales,52000
1/1/2026,Outflow,Facebook Ads,-18000
1/1/2026,Outflow,Courier Charges,-4200
1/2/2026,Inflow,Shopify Sales,48000
1/2/2026,Outflow,Facebook Ads,-16000
1/2/2026,Outflow,Google Ads,-3500
1/3/2026,Inflow,Shopify Sales,61000
1/3/2026,Outflow,Facebook Ads,-21000
1/3/2026,Outflow,Salary,-8000
1/4/2026,Inflow,COD Settlement,34000
1/4/2026,Outflow,Courier Charges,-5100
1/6/2026,Inflow,COD Settlement,29000
1/6/2026,Outflow,Supplier Payment,-40000
